Project A,Project B,StarBased,AdjustedStarBased,StarTimeBased,ContributorBased,LanguageBased,BranchBased,ComplexityBased,SimilarityRating
reactjs/redux,gulpjs/gulp,7.134272242596074,15.903001992168717,4.924406047516198,1.189767995240928,0.0,44.44444444444444,27.578599007170435,C
reactjs/redux,golang/go,4.059357051898438,10.730232877653362,3.7772087067861717,0.1737835153922542,0.0,40.909090909090914,4.57331016189518,D
reactjs/redux,facebook/react,11.331765820322412,46.01909734148519,19.719361098671442,3.080568720379147,0.0,28.125,5.571651437486071,A
reactjs/redux,Microsoft/vscode,4.887421365745353,11.7950127086625,3.2615026208503206,0.4024684733029246,0.0,9.473684210526317,2.4559163023724153,C
reactjs/redux,facebook/immutable-js,9.600528916417288,18.95308099196263,8.010148604566872,3.3112582781456954,0.0,33.33333333333333,46.948356807511736,A
reactjs/redux,callemall/material-ui,9.073574278338418,21.2475097891049,5.4639508567733595,1.9312475859405174,0.0,44.44444444444444,8.318083513558475,C
reactjs/redux,tensorflow/tensorflow,3.717005474388926,14.645874836848252,3.7054409005628517,0.05652911249293386,0.0,45.0,6.721333512568893,B
reactjs/redux,facebook/react-native,8.38304610399175,31.277048842481282,8.477926641774653,1.1148272017837235,0.0,16.363636363636363,4.051535531966615,D
reactjs/redux,vuejs/vue,7.656991165847078,24.173936937555816,8.326229042341575,0.2613240418118467,0.0,50.0,15.57632398753894,A
reactjs/redux,electron/electron,6.427623769289855,12.646836573469807,7.007061379684954,0.3877638948728996,0.0,36.0,12.531328320802004,C
reactjs/redux,docker/docker,4.264919666962448,15.518307343546061,3.6299247454625942,0.2296676573898946,0.0,55.55555555555556,1.9548049104699352,D
reactjs/redux,apple/swift,3.671231792273591,12.743010235625471,3.450134770889488,0.11587485515643105,0.0,22.5,7.234843003906816,D
reactjs/redux,nylas/nylas-mail,0.13617484850548103,13.333333333333334,60.0,0.15360983102918588,0.0,66.66666666666666,4.65,C
reactjs/redux,nodejs/node,7.897249172975733,24.434979734835473,9.165026707899916,1.1794439764111204,0.0,6.666666666666667,4.312947468299836,A
reactjs/redux,Semantic-Org/Semantic-UI,5.38442815804419,13.67726866799478,2.862882973380211,0.44069041498347417,0.0,60.0,10.550749103186325,C
reactjs/redux,neovim/neovim,2.7762296224049043,5.4750291955760115,2.0075282308657463,0.35823950870010235,0.0,11.11111111111111,8.136696501220504,D
reactjs/redux,Dogfalo/materialize,4.3256862485081555,11.204231641134848,3.5561005518087065,0.3373313343328336,0.0,30.0,11.828720132481665,C
reactjs/redux,driftyco/ionic,4.994765963810378,13.76657278285361,1.7964071856287425,0.18722696068233824,0.0,69.23076923076923,4.6347793845012975,C
reactjs/redux,atom/atom,4.748026973558255,15.332829566531567,3.315412186379928,0.48708487084870844,0.0,11.39240506329114,4.195334787716059,C
reactjs/redux,chartjs/Chart.js,4.691227140206732,11.615443508695176,7.627118644067797,0.11757789535567313,0.0,88.88888888888889,27.188689505165854,A
gulpjs/gulp,golang/go,5.683027247074062,12.15915276884248,3.1746031746031744,0.34949759720401924,12.5,18.181818181818183,8.342293047366965,D
gulpjs/gulp,facebook/react,11.26576366184026,35.80937298955808,7.241569928137093,2.590805181610363,25.0,12.5,10.997487062546233,C
gulpjs/gulp,Microsoft/vscode,6.500601443464314,12.837135646063244,1.927525057825752,0.7263619286161552,28.57142857142857,4.2105263157894735,4.527311721871643,C
gulpjs/gulp,facebook/immutable-js,9.378128496554973,18.801652892561986,2.543171114599686,1.9135802469135803,40.0,75.0,32.353033866993066,C
gulpjs/gulp,callemall/material-ui,8.934839005035862,17.38506458158064,2.7611727867919154,1.1385199240986716,50.0,100.0,16.4509923425587,C
gulpjs/gulp,tensorflow/tensorflow,4.342533117621619,13.41614292077003,1.4385835485060863,0.09768009768009768,15.384615384615385,20.0,12.29175545168956,A
gulpjs/gulp,facebook/react-native,8.58186347111889,25.233829860939277,3.4908805648166306,0.5866577271203486,11.11111111111111,7.2727272727272725,7.7180859573769585,D
gulpjs/gulp,vuejs/vue,8.464338416133792,21.289652100757163,3.114830311483031,0.810429880197322,66.66666666666666,22.22222222222222,29.416491307433876,C
gulpjs/gulp,electron/electron,5.408559176172,11.641341203064172,3.6138079827400214,1.368421052631579,0.0,16.0,22.719298245614038,C
gulpjs/gulp,docker/docker,6.775647659305772,19.117137625575296,3.6500129433083095,0.5672507248203706,12.5,80.0,3.902654846299613,D
gulpjs/gulp,apple/swift,4.743254218933309,13.005394170337011,1.750380517503805,0.07032348804500703,6.25,10.0,13.164120489860554,D
gulpjs/gulp,nylas/nylas-mail,0.08357915437561454,11.333333333333332,52.94117647058824,0.1654259718775848,0.0,66.66666666666666,2.564809707666851,C
gulpjs/gulp,nodejs/node,11.683445535585614,28.084327213341908,6.66079295154185,2.689365901801135,13.333333333333334,2.9629629629629632,8.114038074573973,C
gulpjs/gulp,Semantic-Org/Semantic-UI,8.409262093932988,17.12772801504429,4.420687662525282,0.6108735491753208,25.0,26.666666666666668,19.44310782323369,C
gulpjs/gulp,neovim/neovim,4.0273421317393625,9.104896976184104,2.718589272593681,0.4784688995215311,5.263157894736842,25.0,14.83469871634888,D
gulpjs/gulp,Dogfalo/materialize,7.311371389041292,15.168011085267482,3.197389885807504,0.27889680818097307,25.0,13.333333333333334,22.484908687419985,C
gulpjs/gulp,driftyco/ionic,9.03032930920377,19.582322957391003,6.21683093252464,0.636584909193035,40.0,30.76923076923077,8.683908005603156,A
gulpjs/gulp,atom/atom,8.313272031256167,20.84921066956995,3.7502967006883456,1.3481909478607788,33.33333333333333,5.063291139240507,8.21645636758587,C
gulpjs/gulp,chartjs/Chart.js,4.69429977883998,14.393525101170294,5.319148936170213,0.354924578527063,0.0,50.0,49.29309407286569,C
golang/go,facebook/react,7.585655806650592,21.232930466174853,5.766032156717797,0.3780122853992755,33.33333333333333,68.75,43.88000428521036,D
golang/go,Microsoft/vscode,7.3667887722767835,14.705486519223005,2.013422818791946,0.7377924473352102,27.77777777777778,23.157894736842106,60.891749774157574,D
golang/go,facebook/immutable-js,5.79814957979002,13.72491145218418,1.0752688172043012,0.12562814070351758,23.52941176470588,13.636363636363635,5.723772744765956,D
